" added to cart"," adicionado ao carrinho"
"Add to cart","Adicionar ao carrinho"
"AJAX activity indicator","AJAX indicador de atividade"
"Ajax Cart Pro","Ajax Cart Pro"
"Cancel","Cancelar"
"Cannot add item to shopping cart","Não é possível adicionar o item ao carrinho de compras"
"Cart animation","Animação do carrinho"
"Choose an Option...","Escolha uma opção ..."
"Confirmation dialog will be closed after, sec (set 0 to disable)","Confirmação de diálogo será fechado após, seg (definir 0 para desativar)"
"Continue shopping","Continuar Comprando"
"Dialogs align","Alinhar diálogos"
"General","Geral"
"Item(s)","Item(s)"
"My Cart","Meu Carrinho"
"My Cart (%s item)","Meu Carrinho (%s item)"
"My Cart (%s items)","Meu Carrinho (%s items)"
"My Cart %s(%s)%s","Meu Carrinho %s(%s)%s"
"My Cart <span>(%s)</span>","Meu Carrinho <span>(%s)</span>"
"My Wishlist","Minha lista de desejos"
"My Wishlist (%s item)","Minha lista de desejos (%s item)"
"My Wishlist (%s items)","Minha lista de desejos (%s items)"
"or","ou"
"Please wait...","Por favor, aguarde ..."
"sample","Exemplo"
"Show confirmation dialog","Mostrar diálogo de confirmação"
"Show progress animation","Mostrar progresso da animação"
"This product(s) is currently out of stock","Este(s) produto(s) estão fora de estoque"
"View cart &amp; checkout","Ver carrinho &amp; Finalizar a compra"
"Wrong Qty","Quantidade errada"
