"Backorders","Pedidos que Voltaram"
"Pre-Orders","Pré-Venda"
"Status","Status"
"This product is Pre-Order and cannot be shipped","Este produto é Pré-Venda e não pode ser enviado"
"SKU:","SKU:"
"Ordered","Ordem"
"Pre-Ordered","Pré-Compra"
"Pre-Order","Pré-Venda"
"In stock","In stock"
"Out stock","Out stock"
"not Available","não Disponível
"Add to Cart","Comprar"
"Pre-order","Pré-Venda"
"In Stock","Em Estoque"
"Out Stock","Fora de estoque"
"available","disponível"
"Pending Pre-Order","Pendente Pré-Venda"
"Processing Pre-Order","Processando Pré-Venda"
"Preorders","Pré-Vendas"
"Pre-Order Note","Notificação de Pré-Venda"
"Pre-Order Status","Status de Pré-Venda"
