"Shop By Manufacturers","Comprar por Fabricantes"
"No Manufacturers�","Não há Fabricantes�"
"No Manufacturer","Não há Fabricante"
"Featured Manufacturers","Fabricantes em Destaque"
"Shop By","Comprar Por"
"Shop By ","Comprar Por "
"Manufacturers","Fabricante"
"BRAND","MARCA"
"Previous","Anterior"
"Next","Próximo"
"Page:","Página:"
"Contact Details","Detalhes do Contato"
"Contact Person Name","Nome do Contato"
"Phone","Telefone"
"Fax","Fax"
"Email","Email"
"Address","Endereço"
"Name","Nome"
"Website","Website"
"Make this Featured","Tornar Isso Destaque"
"Yes","Sim"
"No","Não"
"Store View","Visão da Loja"
"Status","Estado"
"Enabled","Habilitado"
"Disabled","Desabilitado"
"About Manufacturer","Sobre o Fabricante"
"Logo","Logo"
"Manufacturer Information","Informações Sobre o Fabricante"
"Manufacturer Products","Produtos do Fabricante"
"Save Manufacturer","Salvar Fabricante"
"Delete Manufacturer","Deletar Fabricante"
"Save And Continue Edit","Salvar e Continuar Editando"
"Edit Manufacturer","Editar Fabricante"
"Add Manufacturer","Adicionar Fabricante"
"ID","ID"
"Manufacturers Manager","Gerenciador de Fabricantes"
"Manage Manufacturers","Gerenciar Fabricantes"
"Home","Página Inicial"
"Go to Home Page","Ir para a Página Inicial"
"Go to Manufacturers Page","Ir para a Página de Fabricantes"
"Manufacturer does not exist","Fabricante não existe"
"Manufacturer was successfully saved","Fabricante foi salvo com sucesso"
"Unable to find Manufacturer to save","Não foi possível encontrar Fabricante para salvar"
"Manufacturer was successfully deleted","Fabricante foi excluído com sucesso"
"Please select Manufacturer(s)","Por Favor, selecione o Fabricante(s)"
