"General Configuration","Configurações Gerais"
"Enable extension","Habilitar"
"Lets you enable or disable the extension","Permite ativar ou desativar a extensão"
"Points Configuration","Configurações De Pontos"
"Earned points","Pontos ganhos"
"Amount of Points earned by spending one dollar","Quantidade de Pontos ganhos por gastar 1 Real"
"Spending points","Pontos gastos"
"Amount of points spending to exchange for one dollar","Quantidade de pontos gastos para a troca por 1 Real"
"Configuration","Configurações"
"Totals discount title","Titulo do desconto no total"
"The description of the discount in totals","A descrição do desconto no total"
"Block title","Título do bloco"
"The title of the block in cart or in Onestepcheckout","O titulo do bloco no carrinho ou no Onestepcheckout"
"Name","Nome"
"Earning Points Message","Mensagem de ganho de pontos"
"The message when customer earn points, in success page","A mensagem quando o cliente ganha pontos, na página de sucesso"
"This customer do not have points","Este cliente não possui pontos"
"An error occured while trying to process shopping cart points rules.<br/>Discounts have been reset as a result.","Ocorreu um erro ao tentar processar as regras de pontos do carrinho.<br/>Descontos foram resetados."
"Group","Grupo"
"Telephone","Telefone"
"ZIP","CEP"
"Country","País"
"State/Province","Estado"
"Customer Since","Cliente desde"
"Total of points available","Total de pontos disponíveis"
"Total of points waiting for approval","Total de pontos aguardando a aprovação"
"Action","Ação"
"View more","Ver mais"
"Viewing points of '%s'","Visualizando pontos de '%s'"
"Order Id","Id do Pedido"
"Type","Tipo"
"Spent","Gastou"
"Earned","Ganhou"
"Points","Pontos"
"Prescribed","Prescrito"
"Approved","Aprovado"
"Waiting for approval","Aguardando aprovação"
"Date","Data"
"Amount","Quantidade"
"Customer Points Information","Informações de Pontos do Cliente"
"Extract of Points","Extrato de Pontos"
"Points to prescribe","Pontos a prescrever"
"Customer Points Balances","Saldo de Pontos do Cliente"
"Reset Filter","Resetar Filtro"
"Search","Filtrar"
"Back","Voltar"
"Question Section CMS Page","Página CMS de Dúvidas"
"Customer do not have points avaiable","Cliente não possui pontos disponíveis"
"%s points","%s Pontos"
"Disable free shipping when spending points","Desabilitar frete grátis quando gastar pontos"
"If enabled, customers always have to pay shipping when they spend points","Se habilitado, clientes sempre tem que pagar o frete quando gastam pontos"
"Available","Disponível"
"Used","Usado"
"Prescribed","Prescrito"
"Date of prescription","Data de prescrição"
"Customer Points","Pontos dos clientes"
"Onestepcheckout Integration","Integração Com Onestepcheckout"
"Enable blocks in Onestepcheckout","Habilitar blocos no Onestepcheckout"
"Lets you enable or disable the blocks in Onestepcheckout page (developed using 4.0.5 version)","Permite ativar ou desativar os blocos na página do Onestepcheckout (desenvolvido utilizando a versão 4.0.5)"
"Enable price per points in product detail","Habilitar preço por pontos no detalhe do produto"
"If enabled will show the price per points on the product detail","Se habilitado irá mostrar o preço por pontos no detalhe do produto"
"Enable earned points block in product detail","Habilitar pontos ganhos no detalhe do produto"
"If enabled will show the block with points that the customer will earn in product detail","Se habilitado irá mostrar o bloco com pontos que o cliente vai ganhar no detalhe do produto"
"An error occured while trying to process order points rules","Ocorreu um erro ao tentar processar as regras pontos do pedido"
"This CMS page URL appears when is not possible apply the points.","A URL da página CMS aparece quando não é possível aplicar os pontos."
"Send emails before prescribing points","Enviar emails antes de prescrever os pontos"
"Send emails when points are approved","Enviar emails quando os pontos são aprovados"
"Enable sending email when points are about to prescribe","Habilitar o envio de e-mail quando os pontos estão prestes a prescrever"
"Enable sending email when points are approved","Habilitar o envio de e-mail quando os pontos são aprovados"
"Number of days to send","Número de dias para enviar"
"Number of days to send the email before prescribing the points","Número de dias para enviar o email antes dos pontos prescreverem"
"Email sender","Email do remetente"
"Do not forget to set it in the email contacts","Não se esqueça de configurá-lo nos emails de contatos"
"Email Configuration For Prescribing Points","Configuração De Email Para A Prescrição De Pontos"
"Email Configuration For Approval Points","Configuração De Email Para A Aprovação De Pontos"
"Email subject for prescribing points","Assunto do email para prescrição de pontos"
"Email subject for approval points","Assunto do email para a aprovação de pontos"
"Sending emails is done from 1:00AM until 7:00AM switching from 10 to 10 minutes here you can configure the number of emails that will be sent within these 10 minutes. To change the execution time of cron edit the module configuration (confix.xml).","O envio de emails é feito das 1:00 AM até as 7:00 AM alternando de 10 em 10 minutos aqui voce pode configurar o número de emails que serão enviados nesses 10 minutos. para alterar o tempo de execução da cron edite o arquivo de configuração do módulo (config.xml)."
"Number of emails per call from cron","Número de emails por chamada de cron"
"Alert For Prescribing Points","Alerta Para Prescrição De Pontos"
"Alert For Points Approved","Alerta Para Pontos Aprovados"
"Notify Email Template","Template do email"
"Select the email template to be sent","Selecione o template de email que será enviado"
"This subject is valid only for the default template","Este assunto é valido apenas para o template padrão"
"Prescribing email","Email de prescrição"
"Sent","Enviado"
"Not sent","Não enviado"
"Approving of points","Aprovação de pontos"
"Not Approved, order was canceled","Não aprovado, pedido foi cancelado"
"Points waiting for approval","Pontos aguardando por aprovação"
"The time for prescribing points in months (changes only apply to the points that will be approved from now)","O tempo para a prescrição dos pontos em meses (as alterações só valem para os pontos que irão ser aprovados a partir de agora)"
"Time for prescribing","Tempo de prescrição"
"Configuration Of Approval Points Ipagare Gateway","Configuração Da Aprovação De Pontos Ipagare Gateway"
"Your points have been approved","Seus pontos foram aprovados"
"Refunded","Reembolsado"
"Reimbursement","Reembolso"
"Lets you to enable or disable error logs.","Permite ativar ou desativar os logs de erros."
"FXPLabs Rewards","MILHAS"
"Rewards","Milhas"
