"Enter a password","Digite uma senha"
"Repeat the password","Repita a senha"
"Address","Endereço"
"Hello ","Olá "
"FORGOTTEN YOUR PASSWORD?","ESQUECEU SUA SENHA?"
"CONTINUE","CONTINUAR"
"If you have forgotten your password, or does not have registration, use the options after form.","Se você esqueceu sua senha, ou não possui cadastro, utilize as opções após o formulário."
"To login enter your email address below and password and click continue.","Para efetuar o login, informe abaixo o seu endereço de e-mail, sua senha e clique em Continuar"
"Use this shipping","Usar este frete"
"We have now sent you a new password to your email address. Click the link below to return to login.","Você receberá um e-mail com um link para redefinir sua senha. Clique no link abaixo para voltar ao login."
"Click the link below to return to login.","Clique no link abaixo para voltar ao login."
"One Step Checkout","Finalizar Compra"
"Please wait, processing your order...","Por favor aguarde, processando seu pedido..."
"Street Address 1","Rua"
"Street Address 2","Número (Somente números)"
"Street Address 3","Complemento (Ex: Apto 502)"
"Street Address 4","Bairro"
"Place order now","FINALIZAR COMPRA"
"Zip/Postal Code","CEP"
"State/Province","Estado"
"Identification","IDENTIFICAÇÃO"
"Already registered? Click here to login.","JÁ SOU CADASTRADO"
"Create an account for later use","Crie uma conta para usar mais tarde"
"Ship to the same address","Enviar para o mesmo endereço"
"Payment method","FORMAS DE PAGAMENTO"
"Review your order","RESUMO DA COMPRA"
"Product","Produto"
"Product Name", "Produto"
"Unit Price", "Valor unit."
"Qty","Quantidade"
"Subtotal","Subtotal"
"Continue Shopping", "Continuar comprando"
"Subscribe to our newsletter","Desejo receber os emails promocionais"
"Tax","Imposto"
"Please choose a shipping method.","Por favor, escolha um método de envio."
"Please choose a payment method.","Por favor, escolha um método de pagamento."
"Please enter valid details below.","Por favor insira os detalhes válidos abaixo."
"Please check red fields below and try again.","Por favor, verifique os campos em vermelho abaixo e tente novamente."
"Login","LOGIN"
"Please login with your email address and password.","Por favor faça o login com o seu endereço de e-mail e senha."
"Email address","E-mail"
"Password","Senha"
"Confirm password","Confirmar senha"
"Forgotten your password?","Esqueceu sua senha?"
"Close","Fechar"
"Please enter a username and password.","Por favor digite um nome de usuário e senha."
"Invalid login or password.","Login ou senha inválidos."
"Enter your email below and we'll send you a new password by email.","Digite seu email abaixo e enviaremos uma nova senha por email."
"Send password","Enviar senha"
"Return to login","Retornar para login"
"Please enter a valid email address","Por favor digite um endereço de e-mail válido"
"Please enter a registered email address.","Por favor digite um endereço de e-mail cadastrado."
"Invalid email address.","Endereço de email inválido."
"Email address already registered. Please <a href=""javascript:void(0);"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Email já registrado. Por favor <a href=""javascript:void(0);"" onclick=""login_popup.show(); return false;"">entre agora</a> ou use um endereço de e-mail diferente."
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""javascript:void(0);"">Terms and Conditions</a>","Aceito os <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""javascript:void(0);"">Termos de Uso</a>*"
"Comments","Comentários"
"You need to have products in your cart to checkout, and your cart is empty.","Você precisa ter produtos no seu carrinho para fechar o pedido, e seu carrinho está vazio."
"Back to homepage","Voltar para a página principal"
"Coupon code:","Código de cupom:"
"Apply Coupon","Aplicar cupom"
"Please enter a valid coupon code.","Por favor insira um código de cupom válido."
"Cancel Coupon","Cancelar cupom"
"Shipping address","Endereço para envio"
"How did you hear about us?","Como você ficou sabendo sobre nós?"
"Please choose","Por favor escolha"
"Other","Outro"
"Please specify:","Por favor, especifique:"
"First Name","Nome"
"Last Name", "Sobrenome"
"Email Address", "Email"
"Telephone", "Telefone"
"Country", "País"
"City","Cidade"
"Fax", "Celular"
