"Continue","Continuar"
"Connect","Conectar"
"Disconnect","Desconectar"
"Login","Login"
"Register","Registrar"
"Unable to retrieve access code","Não foi possível retornar o código de acesso"
"Required HTTP method is not supported","Método HTTP não suportado"
"Unspecified OAuth error occurred","Erro OAuth inesperado"
"HTTP error %d occurred while issuing request","Erro HTTP %d ocorru durante a requisição"
"No access token available","Nenhum token de acesso disponível"
"No refresh token, nothing to revoke","No refresh token, nothing to revoke"
"No refresh token, unable to refresh access token","No refresh token, unable to refresh access token"
"Unspecified OAuth error occurred","Unspecified OAuth error occurred"
"Unable to retrieve request token","Unable to retrieve request token"
"Unable to retrieve access token","Unable to retrieve access token"
"Unable to proceeed without an access token","Unable to proceeed without an access token"
"You have successfully disconnected your Facebook account from our store account.","Você desconectou sua conta do Facebook da nossa loja com sucesso."
"Facebook Connect process aborted.","Precesso de conexão com o Facebook abortado."
"Sorry, "%s" error occured. Please try again.","Desculpe, "%s" ocorreu um erro. Por favor tente novamente."
"Your Facebook account is already connected to one of our store accounts.","Sua conta do  Facebook já está conectada a uma conta da nossa loja."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","Sua conta do Facebook agora está conectada à loja. Agora você pode entrar na loja clicando no botão de login do Facebook ou usando as credênciais que você receberá por email."
"You have successfully logged in using your Facebook account.","Você entrou com sua conta do Facebook com sucesso."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Nós descobrimos que você já possui uma conta na loja. Sua conta do Facebook agora está conectada a sua antiga conta na loja."
"Sorry, could not retrieve your Facebook first name. Please try again.","Desculpe, não foi possível obter o seu primeiro nome do Facebook. Por favor, tente novamente ou reveja suas permissões."
"Sorry, could not retrieve your Facebook last name. Please try again.","Desculpe, não foi possível obter o seu sobrenome do Facebook. Por favor, tente novamente ou reveja suas permissões."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Sua conta do Facebook agora está conectada à loja. Agora você pode entrar na loja clicando no botão de login do Facebook ou usando as credênciais que você receberá por email."
"You have successfully disconnected your Google account from our store account.","Você desconectou sua conta do Google da nossa loja com sucesso."
"Google Connect process aborted.","Precesso de conexão com o Google abortado."
"Sorry, "%s" error occured. Please try again.","Desculpe, "%s" ocorreu um erro. Por favor tente novamente."
"Your Google account is already connected to one of our store accounts.","Sua conta do  Google já está conectada a uma conta da nossa loja."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Sua conta do Google agora está conectada à loja. Agora você pode entrar na loja clicando no botão de login do Google ou usando as credênciais que você receberá por email."
"You have successfully logged in using your Google account.","Você entrou com sua conta do Google com sucesso.."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Nós descobrimos que você já possui uma conta na loja. Sua conta do Google agora está conectada a sua antiga conta na loja."
"Sorry, could not retrieve your Google first name. Please try again.","Desculpe, não foi possível obter o seu primeiro nome do Google. Por favor, tente novamente ou reveja suas permissões."
"Sorry, could not retrieve your Google last name. Please try again.","Desculpe, não foi possível obter o seu sobrenome do Google. Por favor, tente novamente ou reveja suas permissões."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Sua conta do Google agora está conectada à loja. Agora você pode entrar na loja clicando no botão de login do Google ou usando as credênciais que você receberá por email."
"You have successfully disconnected your Twitter account from our store account.","You have successfully disconnected your Twitter account from our store account."
"Twitter Connect process aborted.","Twitter Connect process aborted."
"Your Twitter account is already connected to one of our store accounts.","Your Twitter account is already connected to one of our store accounts."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address."
"You have successfully logged in using your Twitter account.","You have successfully logged in using your Twitter account."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","We have discovered you already have an account at our store. Your Twitter account is now connected to your store account."
"Sorry, could not retrieve your Twitter last name. Please try again.","Sorry, could not retrieve your Twitter last name. Please try again."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>."
"Google Connect","Google Connect"
