"txt.msgProcPagDigital.1","Seu pagamento será processado pelo Bcash"
"txt.msgTituloMetodoPagamentoCartao","Cartão de Crédito"
"txt.msgTituloMetodoPagamentoDebito","Débito Online"
"txt.msgTituloMetodoPagamentoBoleto","Boleto"
"txt.msgTituloBinCartao","Bin do Cartão"
"txt.msgTituloValorPagamento","Valor do pagamento"
"txt.informacao","Informação"
"txt.msgInformacaoDebito","Após o fechamento do pedido você será redirecionado ao ambiente da operadora para informar os dados do cartão."
"txt.numeroCartao","Número do cartão"
"txt.validade","Validade"
"txt.codigoSeguranca","Código de segurança"
"txt.msgAjudaCodSeguranca","o que é isso?"
"txt.msgAjudaBinCartao","como funciona?"
"txt.msgTituloNomeTitularCartao","Nome do titular do cartão"
"txt.msgTituloCpfTitularCartao","CPF do titular do cartão"
"txt.numParcelas","Número de parcelas"
"txt.vencimento","Vencimento"
"txt.opcional","opcional"
"txt.MsgErro","O pagamento não foi processado com sucesso. Mais informações: "
"txt.GerarBoleto","Gerar Boleto"
"txt.gerarBoletoDesc","Clique em ""Gerar boleto"" e realize o pagamento através de seu Internet Banking ou agência bancária. "
"txt.tituloTermosContrato","Termos de Contrato"
"txt.msgTermosContrato"," Li e concordo com o"
"txt.msgTermosCurta","Termos"
"txt.msgLinkTermosContrato","Termo de contrato do Bcash"
"txt.msgBin1","O número do BIN para o cartão de crédito Hipercard é uma sequência numérica integrante do número do cartão."
"txt.msgBin2","Para o cartão Hipercard:"
"txt.msgBin3","Informar os seis números localizados acima do número do cartão."
"txt.msgBin4","Em cartões Hipercard, que não tem número BIN, você deve digitar os 16 números no campo: Número do cartão."
"txt.msgTransacaoProcessada","Sua transação foi processada pelo Bcash Pagamentos S/A."
"txt.msgTransacao1","A sua transação está: "
"txt.msgTransacao2"," O código Bcash é "
"txt.msgTransacao3","Caso tenha alguma dúvida referente à transação, entre em contato com o Bcash."
"txt.msgGerarBoleto","Clique em ""Gerar boleto"" e realize o pagamento através de seu Internet Banking ou agência bancária."
"txt.msgTelaDebito1","Quando você clicar no botão 'Abrir página do banco', uma nova janela será aberta no ambiente seguro do Banco."
"txt.msgTelaDebito2","Siga as instruções de pagamento no ambiente do banco."
"txt.msgTelaDebito3","Após finalizar o pagamento, você será automaticamente redirecionado para a página da loja."
"txt.msgTelaDebito4","Após fechar a janela do Banco ou Operadora, por favor aguarde 10 segundos para que o seu pagamento seja processado. "
"txt.msgTelaDebito5","Por favor, não feche esta janela até que seu pagamento seja processado."
"txt.abrirPagBanco","Abrir página do banco"
"txt.Parcelas","Escolha a forma de pagamento"
"txt.avista"," &agrave; vista "
"txt.descontoDe","(desconto de "
"txt.percent","%)"
"txt.xde","x de "
"txt.cJuros"," c/ juros ("
"txt.percAM","% a.m)"
"txt.semjuros"," sem juros"
"txt.astDescontoDe","* desconto de "
"txt.perc","%"
"txt.ipagareTokenInvalido","Sessão expirada, por favor, tente novamente."
