"Question Details","Pergunta: "
"Send Question","Enviar pergunta"
"Hide Question Form","Esconder formulário de pergunta"
"Featured Products","Produtos em Destaque"
"Avaiability: <span class=\"color-theme\">In stock</span>","Disponibilidade: <span class=\"color-theme\">Em estoque</span>"
"Avaiability: <span class=\"color-theme\">Out of stock</span>","Disponibilidade: <span class=\"color-theme\">Sem estoque</span>"
"You May Also Like","Talvez vocêtamb�m goste"
Logout Success,Deslogado com sucesso
Login or Create Account,Entrar ou criar conta
"Hello, Welcome to your account.","Olá, bem vindo a sua conta."
"Forgot Your Password","Esqueci minha senha"
Are you sure you would like to remove this item from the shopping cart?,Deseja remover este item do carrinho?
My Product Question,Minhas perguntas de produtos
My Questions,Minhas Perguntas
You have placed no questions.,Voc&ecirc; n&atilde;o fez nenhuma pergunta
My Answers,Minhas Respostas
You have placed no answers.,Voc&ecirc; n&atilde;o deu nenhuma resposta
Product details and comment,Detalhes do produto e coment&aacute;rios
%s has been added to your wishlist. 
Sign Up Today And You\'ll Be Able To,Cadastre-se agora e voc&ecirc; poder&aacute;
Your order has been received.,Seu pedido foi recebido.
Success,Sucesso
Confirm Your Order,Confirme seu pedido
PRODUCT NAME,Nome do Produto
UNIT PRICE,Preço Unitário
QUANTITY,Quantidade
Ship to same Address,Enviar para o mesmo endereço
You\'ve just added this product to the cart:,Vocêacaba de adicionar este produto ao carrinho:
You\'ve just deleted this product to the cart:,Vocêacaba deremover este produtodao carrinho
Load more,Carregar mais
Continue shopping,Continuar comprando
Go to cart page,Ir para o carrinho
Close (Esc),Fechar (Esc)
Sale,Promo��o
New,Novidade
View Detail,Ver detalhes
View More,Ver Mais
Enter your email for stay the know,Informe seu email para receber novidades
Days,Dias
Hours,Horas,
Secs,Segs
Quickview,Visualizar
Featured Products,Produtos em destaque
"%s","%s"
"%s already exist.","%s já existe."
"%s already exists.","%s já existe."
"-- Please Select --","Selecione..."
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Atenção!</strong> Quando usar CDN, em alguns casos JavaScript pode não funcionar corretamente se CDN não estiver no subdomínio"
"A category object is required for determining the product request path.","Um objeto categoria é obrigatório para determinar o caminho de requisição do produto."
"Add Block Names to Hints","Exibir Nome dos Blocos"
"Add Secret Key to URLs","Chave de Segurança na URL"
"Add Store Code to Urls","Incluir o código da loja nas URLs"
"Admin","Administrativo"
"Admin Base URL","Base URL da Administração"
"Admin User Emails","Emails Administrativos"
"Advanced","Avançado"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","Depois de selecionar um novo local de armazenagem de mídias, clique no botão Sincronizar para transferir todas as mídias. As mídias não estarão disponíveis no novo local até que todo processo de sincronização esteja completo."
"Allow Countries","Países Permitidos"
"Allow Symlinks","Permitir Symlinks"
"Allowed IPs (comma separated)","IPs com Permissão (separados por vírgula)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipos de arquivos permitidos: ICO, PNG, GIF, JPEG, APNG, SVG. Nem todos os navegadores suportam todos os formatos!"
"Allows customers to stay logged in when switching between different stores.","Permite que Cliente continue logado ao mudar de Loja."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texto alternativo para links de próxima página. Se vazio, a imagem de seta será usado."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texto alternativo para links de página anterior. Se vazio, a imagem de seta será usado."
"An error occurred while saving. Please review the error log.","Ocorreu um erro ao tentar salvar. Analise o log de erro."
"Anchor Text for Next","Texto para Próxima Página"
"Anchor Text for Previous","Texto para Página Anterior"
"Anchor symbol (#) is not supported in request path","Símbolo ancora (#) não é suportado no caminho da solicitação"
"Anchor symbol (#) is not supported in url rewrite suffix","Símbolo ancore (#) não é suportado no sufixo da url amigável"
