Product Details and Comment,Detalhes e coment&aacute;rios do produto
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s foi adicionado a Lista de Desejos. Clique <a href=""%2$s"">aqui</a> para continuar comprando"
"%1$s has been updated in your wishlist.","%1$s foi atualizado em sua Lista de Desejos."
"%d product(s) have been added to shopping cart: %s.","%d produto(s) foi adicionado ao carrinho de compras: %s."
"%s for ""%s"".","%s for ""%s""."
"%s's Wishlist","%s's Lista de Desejos"
"* Required Fields","* Campos Obrigatórios"
"Add All to Cart","Adicionar Tudo ao Carrinho"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar a Comparação"
"Add to Wishlist","Adicionar &agrave; Lista"
"Added From","Adicionado Por"
"Added On","Data"
"An error occurred while adding item to wishlist.","Ocorreu um erro ao tentar adicionar um item a lista."
"An error occurred while adding item to wishlist: %s","Ocorreu um erro ao tentar adicionar um item a lista: %s"
"An error occurred while deleting the item from wishlist.","Ocorreu um erro ao tentar excluir um item da lista."
"An error occurred while deleting the item from wishlist: %s","Ocorreu um erro ao tentar excluir um item da lista: %s"
"An error occurred while updating wishlist.","Ocorreu um erro ao atualizar a Lista de Desejos."
"Are you sure you want to remove this product from your wishlist?","Tem certeza que deseja excluir este produto da Lista de Desejos?"
"Are you sure you would like to remove this item from the wishlist?","Tem certeza que deseja excluir este item da Lista de Desejos?"
"Back","Voltar"
"Can\'t delete item from wishlist","Não foi possível apagar o item da Lista de Desejos"
"Can\'t save description %s","Descrição não foi salva %s"
"Can\'t update wishlist","Não foi possível atualizar a lista"
"Cannot add item to shopping cart","Não foi possível adicionar o item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não foi possível adicionar o item ao carrinho de compras."
"Cannot configure product","Não foi possível configurar produto"
"Cannot create wishlist.","Não foi possível criar uma Lista de Desejos."
"Cannot load wishlist item","Não foi possível carregar os itens da Lista de Desejos"
"Cannot specify product.","Produto não especificado."
"Cannot specify wishlist item.","Não foi possível especificar o item da Lista de Desejos."
"Cannot specify wishlist.","Item de desejo não especificado."
"Cannot update wishlist","Não foi possível atualizar a lista"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque este checkbox se você deseja adicionar um link para uma lista rss da Lista de Desejos."
"Comment","Comentário"
"Comment:","Comentário:"
"Configure Wishlist Item","Configurar Item da lista de Desejos"
"Configured Price:","Preço Configurado:"
"Customer My Account My Wishlist","Cliente Minha Conta Lista de Desejos"
"Customer My Account Wishlist Sharing Form","Cliente Minha Conta Lista de Desejos Compartilhar Formulário"
"Customer Shared Wishlist View","Cliente Compartilhar Visualização dos Desejos"
"Date Added","Adicionado na Data"
"Days in Wishlist","Dias na Lista"
"Display Wishlist Summary","Exibir Resumo da Lista de Desejos"
"Edit","Editar"
"Email Sender","Remetente de Email"
"Email Template","Modelo de Email"
"Email address can\'t be empty.","Endereço de Email não pode ficar em branco."
"Email addresses, separated by commas","Endereços de Email, separados por vírgula"
"Enabled","Habilitado"
"General Options","Opções Gerais"
"Go to Wishlist","Ver Todos"
"Helper for wishlist options rendering doesn't implement required interface.","Helper para opções de renderização da Lista de Desejos não precisa implementar uma interface."
"Last Added Items","Últimos Itens Adicionados"
"Message","Mensagem"
"My Wishlist","Lista de Desejos"
"My Wishlist (%d item)","Lista de Desejos (%d)"
"My Wishlist (%d items)","Lista de Desejos (%d itens)"
"My Wishlist <small>(%d)</small>","Lista de Desejos <small>(%d)</small>"
"My Wishlist Link","Link da Minha Lista de Desejos"
"Options Details","Opções Detalhadas"
"Out of stock","Esgotado"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor digite um endereço de email válido, separados por vírgulas. Exemo contato@joiachic.com.br, exemplo@joiachic.com.br"
"Please input a valid email address.","Por favor informe um endereço de email válido."
"Please, enter your comments...","Faça seus comentários..."
"Product","Produto"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produto(s) %s tem opções obrigatórias. Cada um deles pode ser adicionado separadamente no carrinho."
"RSS Feed","Lista RSS"
"RSS link to %s's wishlist","RSS aponta para %s's Lista de Desejos"
"Remove Item","Excluir Item"
"Remove This Item","Excluir Este Item"
"Remove item","Excluir item"
"Share Options","Opções de Compartilhamento"
"Share Wishlist","Compartilhar Lista"
"Share Your Wishlist","Compartilhe sua Lista de Desejos"
"Sharing Information","Compartilhar Informações"
"This product(s) is currently out of stock","Estes produto(s) estão temporariamente sem estoque"
"Unable to add the following product(s) to shopping cart: %s.","Não foi possível adicionar os seguintes produto(s) ao carrinho de compras: %s."
"Update Wishlist","Atualizar Lista"
"User description","Descrição do Usuário"
"View Details","Visualizar Detalhes"
"View Product","Ver Produto"
"Wishlist","Lista de Desejos"
"Wishlist Section","Seção Lista de desejos"
"Wishlist Sharing","Compartilhando Lista"
"Wishlist is empty now.","Lista de Desejos vazia."
"You have no items in your wishlist.","Você não possui nenhum produto favorito."
"Your Wishlist has been shared.","Sua Lista de Desejos foi compartilhada com sucesso."
